#,Scope,Type,Question,deprecated,Single Interpretation,Correct_Query
37,processing time,Analytical,Which participant has the highest total processing time?,no,yes,"SELECT participant_name, SUM(processing_time) as total_processing_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_processing_time DESC LIMIT 1"
38,processing time,Analytical,Which participant has the highest average processing time per case?,no,yes,"SELECT participant_name as participant, SUM(processing_time)/count(DISTINCT case_id_value) AS avg_processing_per_case FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant ORDER BY avg_processing_per_case DESC LIMIT 1"
39,processing time,Analytical,Which participant has the least average processing time per case?,no,yes,"SELECT participant_name as participant,SUM(processing_time)/count(DISTINCT case_id_value)  AS avg_processing_per_case FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant ORDER BY avg_processing_per_case ASC LIMIT 1"
40,processing time,Analytical,Which persona has the least total processing time?,no,yes,"SELECT persona_name, SUM(processing_time) AS total_processing_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_processing_time ASC LIMIT 1"
41,processing time,Analytical,Which persona has the highest total processing time?,no,yes,"SELECT persona_name, SUM(processing_time) AS total_processing_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_processing_time DESC LIMIT 1"
42,case,Analytical,Which participant has the highest total case touches,no,yes,"SELECT participant_name, COUNT(DISTINCT case_id_value) AS case_touch FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01'             AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY case_touch DESC LIMIT 1"
43,case,Analytical,Which participant has the least total case touches,no,yes,"SELECT participant_name, COUNT(DISTINCT case_id_value) AS case_touches FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY case_touches ASC LIMIT 1"
44,activity,Descriptive,Which is the most common activity?,no,yes,"SELECT activity_id, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_id ORDER BY count DESC LIMIT 1"
45,activity,Analytical,Which is the most common activity in a <specific persona>?,yes,yes,not_evaluated
46,activity,Analytical,Which is the least common activity?,no,yes,"SELECT activity_id, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_id ORDER BY count ASC LIMIT 1"
47,mouse ,Descriptive,Is mouse Scroll is used commonly,no,no,SELECT SUM(mouse_wheel) AS total_scroll FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
48,activity,Insightful,Which is the most common sequence of 4 activities?,yes,yes,not_evaluated
49,case,Analytical,What is the average cases per day worked on?,no,yes,"select avg(count_distinct_case_id_value) as average_cases_per_day from (select count(distinct case_id_value) as count_distinct_case_id_value, date(event_time) as date from unum_askskan.events_delta_tb where date(event_time) between '2023-04-01' and '2023-04-30' group by date)"
50,case,Analytical,What is the average cases per day worked on in a <specific persona>?,yes,yes,not_evaluated
51,idle time,Analytical,Which participant has the highest total idle time?,no,yes,"SELECT participant_name, SUM(idle_time) AS total_idle_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_idle_time DESC LIMIT 1"
52,idle time,Analytical,Which participant has the least total Idle time ?,no,yes,"SELECT participant_name, SUM(idle_time) AS total_idle_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_idle_time ASC LIMIT 1"
53,idle time,Analytical,Which persona has the highest total idle time?,no,yes,"SELECT persona_name, SUM(idle_time) AS total_idle_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_idle_time DESC LIMIT 1"
54,idle time,Analytical,Which persona has the least total Idle time ?,no,yes,"SELECT persona_name, SUM(idle_time) AS total_idle_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_idle_time ASC LIMIT 1"
55,wait time,Analytical,Which participant has the least total wait time ?,no,yes,"SELECT participant_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY total_wait_time ASC LIMIT 1"
56,wait time,Analytical,Which persona has the highest total wait time?,no,yes,"SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_wait_time DESC LIMIT 1"
57,wait time,Analytical,Which persona has the least total wait time?,no,yes,"SELECT persona_name, SUM(wait_time) AS total_wait_time FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY total_wait_time ASC LIMIT 1"
58,application,Descriptive,Which persona has the highest count of application switch ?,no,yes,"SELECT persona_name, SUM(CAST(app_switch AS INT)) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1"
59,application,Descriptive,Which persona has the least count of application switch ?,no,yes,"SELECT persona_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE app_switch = 'TRUE' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count ASC LIMIT 1"
60,activity abstraction,Descriptive,Which is the most common activity abstraction?,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1"
61,activity abstraction,Descriptive,Which is the most common activity abstraction in a <specific persona>?,yes,yes,not_evaluated
62,activity abstraction,Descriptive,Which is the least common activity abstraction?,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count ASC LIMIT 1"
63,activity abstraction,Descriptive,Which is the most common sequence of 4 activitie abstraction?,yes,yes,not_evaluated
64,activity abstraction,Analytical,Which is the activity abstraction with most events ?,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count DESC LIMIT 1"
65,activity abstraction,Analytical,Which is the activity abstraction with least events ?,no,yes,"SELECT activity_abstraction_level_name, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY activity_abstraction_level_name ORDER BY count LIMIT 1"
66,case,Analytical,Which persona has the highest count of case switch ?,no,yes,"SELECT persona_name, SUM(CAST(case_switch AS INT)) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY persona_name ORDER BY count DESC LIMIT 1"
67,case,Analytical,Which particiant has the highest count of case switch ?,no,yes,"SELECT participant_name, SUM(CAST(case_switch AS INT)) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY count DESC LIMIT 1"
68,case,Analytical,What is the average case switch for  a <specific persona>? ,yes,yes,not_evaluated
69,application,Analytical,which application has the highest count of unique titles ?,no,yes,"SELECT app_name, COUNT(DISTINCT title) AS count FROM unum_askskan.events_delta_tb WHERE app_name IS NOT NULL AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1"
70,keyboard,Analytical,Which application has the most key press ?,no,yes,"SELECT app_name, SUM(number_key_count + navigation_key_count + alpha_key_count) AS key_press_count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY key_press_count DESC LIMIT 1"
71,mouse,Analytical,Which application has the most mouse clicks ?,no,yes,"SELECT app_name, SUM(mouse_count) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY count DESC LIMIT 1"
72,participant,Analytical,Which participant has the highest total average daily utilization?,no,yes,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization DESC LIMIT 1"
73,participant,Analytical,Which participant has the lowset total average daily utilization?,no,yes,"SELECT participant_name, SUM(active_time)/(COUNT(DISTINCT event_date)) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization ASC LIMIT 1"
74,participant,Analytical,Which participant has the highest average daily utilization in process applications?,no,yes,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization DESC LIMIT 1"
75,participant,Analytical,Which participant has the highest average daily utilization in non process applications?,no,yes,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type=0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization DESC LIMIT 1"
76,utilization,Analytical,"What is the average daily utilization in process applications, across all participants?",no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
77,utilization,Analytical,"What is the average daily utilization in nonprocess applications, across all participants?",no,yes,SELECT SUM(active_time)/COUNT(DISTINCT event_date) AS avg_utilization FROM unum_askskan.events_delta_tb WHERE agent_type = 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
78,utilization,Analytical,Which participant has the least average daily utilization in process applications?,no,yes,"SELECT participant_name, SUM(active_time)/COUNT(DISTINCT event_date) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization LIMIT 1"
79,utilization,Analytical,Which participant has the least average daily utilization in non process applications?,no,yes,"SELECT participant_name, SUM(active_time)/(COUNT(DISTINCT event_date)) AS avg_daily_utilization FROM unum_askskan.events_delta_tb WHERE agent_type=0 AND event_date>='2023-04-01' AND event_date<='2023-04-30' GROUP BY participant_name ORDER BY avg_daily_utilization ASC LIMIT 1"
80,application,Descriptive,Which are the most used top 3 applications ?,no,yes,"SELECT app_name, SUM(active_time) as sum_active_time FROM unum_askskan.events_delta_tb WHERE  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY app_name ORDER BY sum_active_time DESC LIMIT 3"
81,application,Analytical,Which are the applications common across personas ?,no,no,"SELECT app_name ,COUNT(DISTINCT persona_name)FROM unum_askskan.events_delta_tb WHERE app_name IS NOT NULL AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY app_name ORDER BY COUNT(DISTINCT persona_name) DESC LIMIT 10"
82,application,Analytical,Which are most sequence of applications used ?,yes,no,not_evaluated
83,application,Analytical,Which is most common browser used ?,yes,yes,not_evaluated
84,application,Analytical,Which is most used desktop application  ?,no,yes,"SELECT app_name, SUM(active_time) as sum_active_time FROM unum_askskan.events_delta_tb WHERE agent_type = 2 AND  event_date >= '2023-04-01' AND event_date <= '2023-04-30'  GROUP BY app_name ORDER BY sum_active_time DESC LIMIT 1"
85,application,Analytical,Is there any mainframe application in this <specific persona>  ?,yes,no,not_evaluated
86,event,Analytical,When is first  event for the day for a <specific persona>  ?,yes,no,not_evaluated
87,event,Analytical,When is last  event for the day for a <specific persona>  ?,yes,no,not_evaluated
88,participant,Analytical,Which pariticpant has worked most days in this month ?,no,yes,"SELECT participant_name, COUNT(DISTINCT event_date) AS work_days FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY work_days DESC LIMIT 1"
89,participant,Descriptive,Which pariticpant was on leave most days in this month ?,no,yes,"SELECT participant_name, COUNT(DISTINCT event_date) AS leave_days FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01'             AND event_date <= '2023-04-30' GROUP BY participant_name ORDER BY leave_days ASC LIMIT 1"
90,case,Insightful,How many cases are we likely to close this week in a <specific persona>  ?,yes,no,not_evaluated
91,participant,Insightful,Which participant will work on the highest count of case this week for a <specific persona> ?,yes,no,not_evaluated
92,application,Insightful,Which will be the most used application next month ?,yes,no,not_evaluated
93,application,Analytical,How many users use this <specific application> ?,yes,yes,not_evaluated
94,user,Analytical,what is the average count of users on leave in a <specific persona>,yes,no,not_evaluated
95,participant,Descriptive,Which hour of the day is this <specific participant> most productive ?,yes,yes,not_evaluated
96,participant,Descriptive,Which hour of the day is this <specific participant> least productive ?,yes,yes,not_evaluated
97,participant,Descriptive,Which day of the week is this <specific participant> least productive ?,yes,yes,not_evaluated
98,participant,Descriptive,Which day of the week is this <specific participant> most productive ?,yes,yes,not_evaluated
99,participant,Descriptive,which are the participants who work on multiple persona?,no,no,SELECT participant_name FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30'             GROUP BY participant_name HAVING COUNT(DISTINCT persona_name) > 1 LIMIT 10
100,activities,Analytical,Which application has most activities named by a Human in the loop ?,yes,yes,not_evaluated
1000,event,Analytical,which hour of the day has the highest events for this LES persona,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count DESC LIMIT 1"
1001,event,Analytical,which hour of the day has the highest events for this CES persona,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY SUBSTRING(event_time, 12, 2) ORDER BY count DESC LIMIT 1"
1002,event,Analytical,which hour of the day has the highest events for this Do Not Use persona,yes,yes,not_evaluated
1003,event,Analytical,which hour of the day has the highest events for this TEST persona,no,yes,"SELECT SUBSTRING(event_time, 12, 2) as hour, COUNT(*) as count FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND             event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count DESC LIMIT 1"
1004,event,Analytical,which hour of the day has the least events for this LES persona,no,yes,"SELECT SUBSTRING(event_time,12,2) as hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count LIMIT 1"
1005,event,Analytical,which hour of the day has the least events for this CES persona,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY hour ORDER BY count ASC LIMIT 1"
1006,event,Analytical,which hour of the day has the least events for this Do Not Use persona,yes,yes,not_evaluated
1007,event,Analytical,which hour of the day has the least events for this TEST persona,no,yes,"SELECT SUBSTRING(event_time, 12, 2) AS hour, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE event_date >= '2023-04-01' AND event_date <= '2023-04-30' AND persona_name = 'TEST' GROUP BY hour ORDER BY count ASC LIMIT 1"
1008,event,Analytical,which day of the week has the highest events  for this LES persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1"
1009,event,Analytical,which day of the week has the highest events  for this CES persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1"
1010,event,Analytical,which day of the week has the highest events  for this Do Not Use persona,yes,yes,not_evaluated
1011,event,Analytical,which day of the week has the highest events  for this TEST persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count DESC LIMIT 1"
1012,event,Analytical,which day of the week has the least events  for this LES persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1"
1013,event,Analytical,which day of the week has the least events  for this CES persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1"
1014,event,Analytical,which day of the week has the least events  for this Do Not Use persona,yes,yes,not_evaluated
1015,event,Analytical,which day of the week has the least events  for this TEST persona,no,yes,"SELECT date_format(event_date, 'EEEE') AS day_of_week, COUNT(*) AS count FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' GROUP BY day_of_week ORDER BY count ASC LIMIT 1"
1016,event,Analytical,what is the average numbers of events in a day for this LES persona,no,yes,SELECT COUNT(event_id)/COUNT(DISTINCT event_date) AS avg_events_per_day FROM unum_askskan.events_delta_tb WHERE persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1017,event,Analytical,what is the average numbers of events in a day for this CES persona,no,yes,SELECT COUNT(event_id)/COUNT(DISTINCT event_date) AS avg_events_per_day FROM unum_askskan.events_delta_tb WHERE persona_name = 'CES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1018,event,Analytical,what is the average numbers of events in a day for this Do Not Use persona,yes,yes,not_evaluated
1019,event,Analytical,what is the average numbers of events in a day for this TEST persona,no,yes,SELECT COUNT(event_id)/COUNT(DISTINCT event_date) AS avg_events_per_day FROM unum_askskan.events_delta_tb WHERE persona_name = 'TEST' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
1020,application,Analytical,What is the total time spent on process applications for this LES persona,no,yes,SELECT SUM(active_time) AS total_time FROM unum_askskan.events_delta_tb WHERE agent_type != 0 AND persona_name = 'LES' AND event_date >= '2023-04-01' AND event_date <= '2023-04-30' LIMIT 1
